gene_name	length
PST_1182	504
PST_1183	567
PST_1184	618
PST_1185	471
PST_1186	192
purT	1182
PST_1188	1287
PST_1189	948
ffh	1449
rpsP	252
rimM	537
trmD	753
rplS	351
xerD	897
dsbC	729
PST_1197	489
hom	1296
thrC	1410
rnt	612
pyrC	1044
PST_1202	1032
argG	1218
gloA1	393
PST_1205	180
nth	639
PST_1207	714
PST_1208	774
PST_1209	1029
PST_1210	2484
PST_1211	576
PST_1212	585
PST_1213	1107
PST_1214	819
PST_1215	1245
ung	621
PST_1217	516
PST_1218	837
PST_1219	786
PST_1220	255
PST_1221	456
nadB	1731
algU	582
mucA	630
mucB	945
mucC	453
mucD	1422
lepA	1800
lepB	855
PST_1230	378
rnc	627
era	918
recO	711
pdxJ	747
PST_1235	207
PST_1236	951
PST_1237	996
PST_1238	831
PST_1239	414
lon-1	2376
PST_1241	624
putA	3162
putP-1	1320
PST_1244	225
PST_1245	2019
putP-2	1668
PST_1247	816
pcaQ	915
pcaH	720
pcaG	606
PST_1252	828
pcaR	843
pcaI	948
pcaJ	783
pcaF	1206
pcaB	1362
pcaD	789
pcaC	399
PST_1260	74
PST_1261	693
metG	2079
PST_1263	1095
PST_1264	210
dcd	516
napC	597
napB	489
napA	2505
napD	303
napE	180
PST_1271	1176
PST_1272	495
PST_1273	702
PST_1274	600
PST_1275	594
PST_1276	825
aroF-2	1077
PST_1278	705
PST_1279	366
PST_1280	552
cydA1	1632
cydB1	1209
PST_1283	1302
PST_1284	105
PST_1285	633
PST_1286	525
PST_1287	1254
PST_1288	1122
PST_1289	1818
PST_1290	570
cobO	612
cobB	1293
PST_1293	579
PST_1294	801
cobD	912
cobC	990
cobQ	1458
cobU	519
cobT	1050
cobS	738
PST_1302	333
PST_1303	360
nifQ	558
fdxN	279
nifB	1344
PST_1307	480
PST_1308	924
PST_1309	522
PST_1310	828
fsr	1212
tpmA	708
nifA	1566
nifL	1614
rnfA	573
rnfB	525
rnfC	1464
rnfD	1101
rnfG	687
rnfE	720
rnfH	261
nifY2	732
PST_1324	564
PST_1325	852
nifH	882
nifD	1482
nifK	1572
nifT	222
nifY	735
PST_1332	486
nifE	1419
nifN	1377
nifX	480
PST_1336	480
PST_1337	210
PST_1338	297
PST_1339	321
PST_1340	498
PST_1341	375
PST_1342	750
PST_1343	423
PST_1344	273
modC	1098
modB	681
modA	753
PST_1348	807
hesB	324
nifU	951
nifS	1209
nifV	1146
cysE	744
PST_1354	540
nifW	348
nifZ	471
nifM	879
clpX	1317
nifF	543
PST_1360	549
PST_1361	1302
PST_1362	846
rnd	1206
PST_1365	408
PST_1366	480
PST_1367	1221
PST_1368	1017
alaS	2703
lysC	1239
csrA	186
PST_1372	91
PST_1373	77
PST_1374	77
PST_1375	483
mgtE	1443
PST_1377	1785
PST_1378	1137
algZ	441
PST_1380	465
PST_1381	77
PST_1382	747
PST_1383	111
flgM	330
flgA	753
cheV-3	933
cheR	738
flgB	405
flgC	405
flgD	681
flgE	1317
flgF	612
flgG	786
flgH	696
flgI	1101
flgJ	1161
flgK	2010
flgL	1581
PST_1399	120
cysC	603
PST_1401	681
PST_1402	4848
PST_1403	204
fliC	1449
PST_1405	366
PST_1406	1407
PST_1407	318
PST_1408	450
PST_1409	327
PST_1410	360
PST_1411	405
PST_1412	1773
prc	2298
PST_1415	1185
PST_1416	354
PST_1417	291
PST_1418	3384
PST_1419	591
PST_1420	1437
PST_1421	1290
rluA	735
minE	258
