locus_id	gene_name	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8
ECDH10B_3123	yqgE	225.0	298.0	446.0	1402.0	276.0	271.0	39.0	0.0	598.0	1845.0	387.0	752.0	370.0	5263.0	756.0	2480.0
ECDH10B_3124	yqgF	144.0	149.0	220.0	999.0	198.0	188.0	13.0	17.0	411.0	1227.0	353.0	337.0	331.0	2983.0	557.0	1435.0
ECDH10B_3179	yqhA	199.0	245.0	252.0	453.0	102.0	260.0	0.0	0.0	291.0	1091.0	121.0	289.0	49.0	1192.0	74.0	372.0
ECDH10B_3185	yqhC	13.0	48.0	19.0	109.0	37.0	96.0	0.0	20.0	44.0	69.0	70.0	55.0	127.0	870.0	96.0	448.0
ECDH10B_3186	yqhD	219.0	148.0	107.0	352.0	324.0	139.0	42.0	18.0	161.0	593.0	30.0	129.0	944.0	10195.0	1188.0	2770.0
ECDH10B_3188	yqhG	12.0	0.0	7.0	28.0	7.0	0.0	0.0	0.0	35.0	73.0	9.0	0.0	14.0	195.0	21.0	63.0
ECDH10B_3189	yqhH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	14.0	15.0	0.0
ECDH10B_3205	yqiA	176.0	84.0	79.0	311.0	66.0	23.0	0.0	0.0	182.0	573.0	115.0	229.0	71.0	1109.0	119.0	215.0
ECDH10B_3207	yqiB	0.0	38.0	15.0	119.0	15.0	60.0	0.0	0.0	38.0	335.0	70.0	20.0	127.0	464.0	99.0	210.0
ECDH10B_3216	yqiC	207.0	305.0	400.0	1807.0	223.0	272.0	25.0	3.0	572.0	1478.0	316.0	541.0	412.0	4617.0	463.0	1834.0
ECDH10B_3220	yqiG	0.0	38.0	0.0	64.0	0.0	18.0	0.0	0.0	39.0	102.0	11.0	23.0	5.0	143.0	4.0	39.0
ECDH10B_3221	yqiH	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	0.0	21.0	0.0	0.0
ECDH10B_3222	yqiI	8.0	26.0	12.0	41.0	11.0	1.0	0.0	0.0	33.0	78.0	10.0	15.0	6.0	51.0	0.0	19.0
ECDH10B_3224	yqiJ	18.0	0.0	35.0	77.0	0.0	119.0	0.0	0.0	312.0	625.0	68.0	61.0	57.0	194.0	60.0	134.0
ECDH10B_3225	yqiK	22.0	19.0	33.0	189.0	16.0	129.0	0.0	0.0	50.0	406.0	45.0	140.0	26.0	544.0	73.0	104.0
ECDH10B_3271	yqjA	407.0	635.0	509.0	1512.0	628.0	458.0	64.0	18.0	681.0	2410.0	361.0	423.0	574.0	3906.0	916.0	2362.0
ECDH10B_3272	yqjB	126.0	259.0	266.0	564.0	212.0	184.0	11.0	5.0	284.0	691.0	103.0	144.0	163.0	917.0	260.0	911.0
ECDH10B_3273	yqjC	248.0	470.0	246.0	585.0	162.0	264.0	10.0	0.0	308.0	1292.0	61.0	384.0	202.0	2148.0	305.0	1223.0
ECDH10B_3274	yqjD	156.0	272.0	49.0	328.0	53.0	135.0	0.0	0.0	385.0	364.0	185.0	242.0	76.0	942.0	211.0	677.0
ECDH10B_3275	yqjE	92.0	219.0	93.0	261.0	29.0	164.0	0.0	8.0	247.0	352.0	96.0	120.0	20.0	743.0	77.0	190.0
ECDH10B_3277	yqjF	0.0	39.0	0.0	53.0	18.0	42.0	15.0	0.0	65.0	284.0	63.0	37.0	12.0	187.0	19.0	93.0
ECDH10B_3278	yqjG	36.0	17.0	137.0	152.0	17.0	36.0	20.0	0.0	105.0	373.0	43.0	94.0	38.0	567.0	51.0	324.0
ECDH10B_3245	yqjH	53.0	60.0	114.0	396.0	40.0	155.0	19.0	0.0	84.0	234.0	135.0	305.0	277.0	3326.0	570.0	1022.0
ECDH10B_3246	yqjI	104.0	87.0	100.0	206.0	9.0	113.0	0.0	28.0	124.0	433.0	81.0	101.0	169.0	1955.0	313.0	726.0
ECDH10B_3276	yqjK	185.0	143.0	24.0	386.0	12.0	112.0	0.0	0.0	223.0	624.0	85.0	91.0	56.0	804.0	129.0	252.0
ECDH10B_3315	yraH	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	17.0	13.0	0.0	0.0	0.0	43.0	0.0	24.0
ECDH10B_3316	yraI	0.0	11.0	0.0	15.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	0.0	7.0	0.0	0.0
ECDH10B_3317	yraJ	0.0	47.0	3.0	120.0	0.0	37.0	0.0	0.0	80.0	227.0	16.0	59.0	6.0	207.0	27.0	54.0
ECDH10B_3318	yraK	21.0	16.0	22.0	54.0	0.0	30.0	0.0	0.0	17.0	225.0	18.0	28.0	15.0	143.0	28.0	68.0
ECDH10B_3319	yraL	48.0	147.0	18.0	328.0	50.0	99.0	12.0	0.0	176.0	578.0	112.0	238.0	148.0	727.0	77.0	328.0
ECDH10B_3320	yraM	364.0	564.0	183.0	1157.0	93.0	174.0	19.0	14.0	455.0	1875.0	311.0	505.0	150.0	1895.0	192.0	700.0
ECDH10B_3321	yraN	46.0	0.0	31.0	101.0	36.0	45.0	0.0	0.0	77.0	255.0	44.0	115.0	12.0	105.0	44.0	48.0
ECDH10B_3323	yraP	237.0	287.0	190.0	786.0	84.0	318.0	0.0	0.0	562.0	949.0	309.0	447.0	130.0	1570.0	112.0	478.0
