gene_name	Koxym5a1_1	Koxym5a1_2	Koxym5a1_synnifI4_1	Koxym5a1_synnifI4_2
KOXM_03522	10	0	42	0
KOXM_03527	0	21	0	0
KOXM_03532	0	0	0	0
KOXM_03537	0	0	4	10
KOXM_03542	0	0	0	3
KOXM_03547	0	0	0	0
KOXM_03552	0	0	0	0
KOXM_03567	0	0	0	0
KOXM_03572	0	15	0	0
KOXM_03577	0	0	0	0
KOXM_03582	0	3	0	0
KOXM_03587	0	14	0	0
KOXM_03602	1	6	0	0
KOXM_03607	65	26	159	27
KOXM_03612	128	601	247	377
KOXM_03617	123	676	40	689
KOXM_03622	27	108	30	88
KOXM_03647	31	0	6	5
KOXM_03652	6	5	14	0
KOXM_03657	60	78	177	91
KOXM_03662	64	84	99	28
KOXM_03667	536	290	239	302
KOXM_03672	1336	1369	1343	415
KOXM_03677	0	32	0	0
KOXM_03682	408	568	451	302
KOXM_03687	91	83	59	59
KOXM_03692	78	76	40	41
KOXM_03697	279	1505	1435	1110
KOXM_03702	18	67	197	80
KOXM_03707	165	306	670	190
KOXM_03712	0	26	62	0
KOXM_03717	2	0	15	0
KOXM_03722	4	5	17	0
KOXM_03727	12	0	11	4
KOXM_03732	0	0	0	8
KOXM_03737	10	48	81	18
KOXM_03742	47	92	51	22
KOXM_03747	85	61	33	73
KOXM_03752	141	149	250	87
KOXM_03757	247	478	678	356
KOXM_03772	22	17	57	8
KOXM_03777	0	0	31	14
KOXM_03782	227	201	312	124
KOXM_03787	294	355	536	307
KOXM_03792	23	42	105	26
KOXM_03797	0	0	0	0
KOXM_03802	25	12	116	6
KOXM_03807	30	235	160	164
KOXM_03812	891	512	1580	376
KOXM_03817	48	58	219	80
KOXM_03822	96	126	508	141
KOXM_03827	136	152	270	82
KOXM_03832	201	442	723	141
KOXM_03837	61	78	56	0
KOXM_03842	0	53	50	11
KOXM_03847	37	59	144	8
KOXM_03852	2288	3036	5199	1605
KOXM_03857	426	284	1362	251
KOXM_03862	197	127	231	39
KOXM_03867	13	73	74	103
KOXM_03872	191	382	360	199
KOXM_03877	406	353	597	304
KOXM_03882	188	173	274	66
KOXM_03887	158	64	42	79
KOXM_03892	99	48	174	31
KOXM_03907	216	158	302	37
KOXM_03912	159	207	237	22
KOXM_03917	86	21	56	37
KOXM_03922	100	176	256	24
KOXM_03927	252	146	218	50
KOXM_03932	216	280	286	149
KOXM_03937	240	199	216	167
KOXM_03942	175	173	166	64
KOXM_03947	123	125	312	90
KOXM_03952	4576	4181	14554	2892
KOXM_03957	1094	1218	4532	1034
KOXM_03962	155	177	414	101
KOXM_03967	420	630	974	380
KOXM_03972	676	1206	1765	716
KOXM_03977	65	58	112	0
KOXM_03982	0	27	59	38
KOXM_03987	0	8	0	0
KOXM_03992	43	14	37	7
KOXM_03997	10	0	0	0
KOXM_04002	0	44	51	0
KOXM_04007	1	29	45	0
KOXM_04012	143	140	288	202
KOXM_04017	7	0	31	0
KOXM_04022	27	0	12	0
KOXM_04027	58	10	38	0
KOXM_04042	47	26	238	127
KOXM_04047	6902	3882	2893	1701
KOXM_04052	46	22	119	51
KOXM_04057	1344	1065	2297	741
KOXM_04072	833	579	2061	408
KOXM_04077	261	124	304	98
KOXM_04092	0	0	6	16
KOXM_04097	37	64	137	54
KOXM_04102	82	96	245	85
KOXM_04131	0	0	0	0
KOXM_04136	0	0	0	0
KOXM_04151	0	0	0	0
KOXM_04156	0	0	0	0
KOXM_04161	0	0	0	0
KOXM_04176	0	0	0	0
KOXM_04181	0	0	0	0
KOXM_04196	0	0	0	0
KOXM_04201	20	23	57	0
KOXM_04206	0	18	0	0
KOXM_04211	0	2	11	0
KOXM_04216	14	34	13	15
KOXM_04221	0	1	6	0
KOXM_04226	10	7	36	11
KOXM_04231	0	24	16	0
KOXM_04236	266	601	918	282
KOXM_04241	29	17	92	0
KOXM_04246	30	104	63	56
KOXM_04251	63	13	49	11
KOXM_04256	124	294	211	83
KOXM_04261	1016	1767	1582	1327
KOXM_04266	115	219	220	181
KOXM_04271	42	160	126	51
KOXM_04276	304	491	991	280
KOXM_04281	343	519	569	339
KOXM_04286	117	8	129	102
KOXM_04291	0	13	13	3
KOXM_04296	151	283	405	55
KOXM_04301	299	353	540	207
KOXM_04306	40	178	136	185
KOXM_04311	0	51	24	10
KOXM_04316	434	503	1259	415
KOXM_04321	1150	1378	3164	1001
KOXM_04326	17	77	157	0
KOXM_04331	357	308	5585	1014
KOXM_04336	147	182	913	723
KOXM_04341	0	101	478	432
KOXM_04346	0	97	389	355
KOXM_04351	10	132	477	387
KOXM_04356	309	261	714	106
KOXM_04361	699	683	1354	344
KOXM_04366	489	783	728	519
KOXM_04371	209	477	832	427
KOXM_04376	64	301	216	94
KOXM_04381	83	254	219	131
KOXM_04386	90	214	152	73
KOXM_04391	91	156	429	219
KOXM_04396	0	2	0	3
KOXM_04401	848	1765	2035	736
KOXM_04406	2621	4431	5714	1470
KOXM_04411	0	0	0	0
KOXM_04416	0	0	0	17
KOXM_04421	0	8	15	0
KOXM_04426	0	0	12	0
KOXM_04431	17	39	52	18
KOXM_04436	0	0	0	0
KOXM_04441	0	0	0	0
KOXM_04446	0	0	0	0
KOXM_04451	50	15	9	0
KOXM_04456	8	10	23	0
KOXM_04461	0	23	0	11
KOXM_04466	0	0	0	0
KOXM_04471	152	193	322	63
KOXM_04476	172	135	337	186
KOXM_04481	116	200	381	158
KOXM_04486	90	245	439	204
KOXM_04491	12	29	53	2
KOXM_04496	43	22	50	22
KOXM_04501	0	0	22	0
KOXM_04506	0	0	52	17
KOXM_04511	362	599	1272	647
KOXM_04516	127	47	189	71
KOXM_04521	49	276	272	94
KOXM_04536	277	952	852	673
KOXM_04541	963	1632	2246	1239
KOXM_04546	12	8	16	32
KOXM_04551	329	433	539	308
