gene_name	N13	N14	N15	N16	N17	N5	Rhizobium_1	Rhizobium_2	Rhizobium_synnifI4_1	Rhizobium_synnifI4_2
BN877_I0472_locusTag_BN877_I0472	19	10	509	1516	282	55	224	454	191	727
BN877_I0473_locusTag_BN877_I0473	17	5	121	389	134	23	309	717	99	371
BN877_I0474_locusTag_BN877_I0474	61	27	170	608	539	54	310	1601	546	1925
BN877_I0475_locusTag_BN877_I0475	0	1	26	73	42	9	137	171	103	77
BN877_I0476_locusTag_BN877_I0476	26	3	124	342	59	38	480	555	182	759
BN877_I0477_locusTag_BN877_I0477	66	13	307	693	301	48	1395	3198	383	1235
BN877_I0478_locusTag_BN877_I0478	45	56	345	383	746	222	765	2644	764	1756
BN877_I0479_locusTag_BN877_I0479	53	44	622	486	610	55	167	654	128	476
BN877_I0481_locusTag_BN877_I0481	0	18	48	141	22	9	12	122	0	113
BN877_I0482_locusTag_BN877_I0482	1	0	7	16	7	0	1	17	2	0
BN877_I0483_locusTag_BN877_I0483	4	6	215	641	204	35	486	1051	72	413
BN877_I0490_locusTag_BN877_I0490	10	14	142	188	140	27	244	538	197	304
BN877_I0499_locusTag_BN877_I0499	2	0	112	154	15	5	102	144	51	168
BN877_I0501_locusTag_BN877_I0501	34	16	194	353	336	52	512	1675	258	828
BN877_I0502_locusTag_BN877_I0502	55	43	93	235	230	12	375	728	228	358
BN877_I0503_locusTag_BN877_I0503	239	20	427	727	334	92	313	879	342	663
BN877_I0504_locusTag_BN877_I0504	10	10	20	134	36	6	104	224	50	135
BN877_I0506_locusTag_BN877_I0506	8	18	98	250	118	50	244	551	152	375
BN877_I0508_locusTag_BN877_I0508	0	0	56	204	9	9	8	53	47	111
BN877_I0509_locusTag_BN877_I0509	0	0	66	260	28	1	29	90	8	77
BN877_I0510_locusTag_BN877_I0510	11	11	376	1610	238	77	325	818	153	612
BN877_I0512_locusTag_BN877_I0512	0	0	64	193	47	15	9	67	31	41
BN877_I0513_locusTag_BN877_I0513	0	0	36	24	23	0	0	51	0	8
BN877_I0515_locusTag_BN877_I0515	20	24	711	1699	437	140	202	346	106	568
BN877_I0517_locusTag_BN877_I0517	7	5	49	124	92	0	53	191	38	153
BN877_I0520_locusTag_BN877_I0520	127	10	22	32	18	8	3	27	18	0
BN877_I0532_locusTag_BN877_I0532	2	0	43	78	13	5	65	177	45	143
BN877_I0535_locusTag_BN877_I0535	0	2	20	39	12	6	117	278	10	131
BN877_I0541_locusTag_BN877_I0541	0	0	15	54	0	2	103	36	109	124
