	logFC	logCPM	PValue	FDR
nirD_locusTag_ECDH10B_3542	4.19339364920588	1.00963135588222	0.0189535109788608	0.545174994526465
ykgH_locusTag_ECDH10B_0297	4.1621200498167	0.205988996893845	0.0192626152981968	0.545174994526465
wzzE_locusTag_ECDH10B_3974	1.19761590515058	5.50936204690457	0.0192994800049861	0.545174994526465
yhfX_locusTag_ECDH10B_3556	6.31972665694741	-1.13442080257172	0.0196869663419582	0.545174994526465
nikA_locusTag_ECDH10B_3650	2.69583705552566	3.01991722471887	0.0198332466819721	0.545174994526465
yebG_locusTag_ECDH10B_1989	-1.22567156716096	6.00244154325917	0.0199904194752019	0.545174994526465
ymgA_locusTag_ECDH10B_1214	4.90065954152168	-0.243476320619049	0.02021245490384	0.545174994526465
mntR_locusTag_ECDH10B_0886	-1.06348453289961	5.79521331512612	0.0204218245981469	0.545174994526465
agaC_locusTag_ECDH10B_3312	3.4745946869832	-0.0191929473954202	0.0204410936444818	0.545174994526465
rbbA_locusTag_ECDH10B_3661	1.31044102737954	5.06632458632731	0.0204798789255701	0.545174994526465
yihG_locusTag_ECDH10B_4051	1.41400392139246	3.53435577913989	0.0206243413231451	0.545174994526465
ypdF_locusTag_ECDH10B_2550	6.08569178774684	-1.20628329861134	0.0206263183964417	0.545174994526465
malK_locusTag_ECDH10B_4224	-1.8703876223869	5.75949137078758	0.0207432913918283	0.545174994526465
nrdD_locusTag_ECDH10B_4433	1.47251196449974	6.47533212297551	0.020780979547483	0.545174994526465
yqgA_locusTag_ECDH10B_3147	1.79073059045947	2.93229835697857	0.0208674028404749	0.545174994526465
malG_locusTag_ECDH10B_4221	-1.73150206308792	4.8253883707144	0.0209040047897349	0.545174994526465
nanA_locusTag_ECDH10B_3402	-1.56693660690054	4.76795619695728	0.0209197125784907	0.545174994526465
ykfK_locusTag_ECDH10B_0236	-5.40072805342316	-1.10875098043535	0.021058236456521	0.545174994526465
ccmF_locusTag_ECDH10B_2353	2.01533304658471	3.48625895337098	0.0211849407588844	0.545174994526465
