gene_name	N18	N19	N20	N21	N3	N4
None_locusTag_PFL_0768	0	15	2	1	7	1
None_locusTag_PFL_0770	10	6	0	4	0	12
None_locusTag_PFL_0772	24	10	21	7	10	11
None_locusTag_PFL_0773	3	8	0	0	2	0
None_locusTag_PFL_0774	1	5	7	8	11	13
None_locusTag_PFL_0775	19	7	16	0	23	6
None_locusTag_PFL_0776	7	0	0	0	0	0
None_locusTag_PFL_0777	41	32	34	2	16	10
None_locusTag_PFL_0778	105	210	72	24	110	45
None_locusTag_PFL_0779	0	6	3	0	8	0
None_locusTag_PFL_0780	13	28	25	0	21	12
None_locusTag_PFL_0781	47	23	30	0	25	21
None_locusTag_PFL_0782	12	16	0	0	17	5
None_locusTag_PFL_0783	0	0	0	0	15	5
None_locusTag_PFL_0784	5	1	0	6	9	10
None_locusTag_PFL_0785	0	0	0	0	0	0
None_locusTag_PFL_0786	41	36	6	1	71	27
None_locusTag_PFL_0787	36	28	13	3	8	30
None_locusTag_PFL_0788	8	11	0	0	13	9
None_locusTag_PFL_0789	2	7	0	9	0	0
None_locusTag_PFL_0790	4	0	0	0	0	8
None_locusTag_PFL_0791	12	2	0	0	19	11
None_locusTag_PFL_0792	40	33	22	2	61	38
None_locusTag_PFL_0794	34	9	0	0	29	21
None_locusTag_PFL_0795	11	0	0	0	0	0
None_locusTag_PFL_0796	16	1	0	0	1	0
None_locusTag_PFL_0797	12	4	0	9	13	1
None_locusTag_PFL_0798	12	18	3	7	11	21
None_locusTag_PFL_0799	26	18	0	16	26	28
None_locusTag_PFL_0800	3	6	0	3	30	27
None_locusTag_PFL_0801	12	7	16	0	17	29
None_locusTag_PFL_0802	25	32	4	3	78	89
None_locusTag_PFL_0803	7	41	26	1	38	124
None_locusTag_PFL_0804	24	42	18	4	97	81
None_locusTag_PFL_0805	63	67	37	21	169	245
None_locusTag_PFL_0806	56	53	6	8	59	70
None_locusTag_PFL_0807	39	112	34	30	122	43
None_locusTag_PFL_0808	52	75	5	37	120	102
None_locusTag_PFL_0809	24	19	0	13	45	87
None_locusTag_PFL_0810	44	26	3	25	38	53
None_locusTag_PFL_0812	171	159	150	45	98	47
None_locusTag_PFL_0813	476	515	197	230	333	52
None_locusTag_PFL_0814	135	131	45	30	74	0
None_locusTag_PFL_0815	169	198	79	45	127	18
None_locusTag_PFL_0816	339	144	87	123	109	26
None_locusTag_PFL_0820	69	34	23	18	76	58
None_locusTag_PFL_0821	1	3	0	0	4	9
None_locusTag_PFL_0822	29	3	0	13	0	0
None_locusTag_PFL_0833	6	3	3	11	11	9
None_locusTag_PFL_0834	57	52	4	17	84	9
None_locusTag_PFL_0840	12	0	0	0	1	0
None_locusTag_PFL_0841	0	0	0	0	0	0
None_locusTag_PFL_0842	2	0	0	0	4	0
None_locusTag_PFL_0849	0	0	0	0	0	0
None_locusTag_PFL_0850	2	6	0	3	13	5
None_locusTag_PFL_0852	13	21	13	0	37	25
None_locusTag_PFL_0855	57	43	5	31	40	13
None_locusTag_PFL_0857	187	218	29	50	145	30
None_locusTag_PFL_0862	3	2	0	8	2	24
None_locusTag_PFL_0863	107	85	90	117	198	93
None_locusTag_PFL_0864	4	0	0	0	38	16
None_locusTag_PFL_0865	6	0	0	0	0	3
None_locusTag_PFL_0866	0	13	0	0	13	0
None_locusTag_PFL_0873	0	12	0	0	0	0
None_locusTag_PFL_0879	16	22	15	16	41	37
