gene_name	N18	N19	N20	N21	N3	N4
maf_2_locusTag_PFL_1791	71	82	15	51	102	12
mag1_locusTag_PFL_2661	0	0	0	9	4	0
maiA_locusTag_PFL_0969	0	0	0	0	0	0
malQ_locusTag_PFL_2885	14	95	106	39	83	4
map_1_locusTag_PFL_1175	389	473	211	202	705	151
map_2_locusTag_PFL_3100	13	12	0	0	1	3
mazG_locusTag_PFL_4445	58	76	16	37	66	20
mdaB_locusTag_PFL_0769	4	2	0	0	6	13
mdcA_locusTag_PFL_5820	24	0	16	15	37	6
mdcB_locusTag_PFL_5819	0	0	0	0	0	0
mdcC_locusTag_PFL_5818	0	0	0	14	0	0
mdcD_locusTag_PFL_5817	6	0	0	12	0	1
mdcE_locusTag_PFL_5816	9	0	0	0	0	0
mdcG_locusTag_PFL_5815	8	2	10	0	7	0
mdcH_locusTag_PFL_5814	2	0	8	0	0	0
mdcR_locusTag_PFL_5811	12	27	0	13	13	27
mdeA_locusTag_PFL_3814	23	31	0	8	6	9
mdlC_locusTag_PFL_3478	21	11	6	9	6	0
mdoD_locusTag_PFL_1122	154	235	83	86	168	78
mdoG_locusTag_PFL_0413	63	12	23	21	15	14
mdoH_locusTag_PFL_0414	95	55	10	24	30	31
mdtA_locusTag_PFL_2859	24	9	0	0	13	5
mdtB_locusTag_PFL_2860	48	61	0	10	19	49
mdtC_locusTag_PFL_2861	43	55	14	5	85	45
megL_locusTag_PFL_3514	1306	791	226	331	1217	1619
metE_locusTag_PFL_2404	34	38	21	6	44	51
metF_locusTag_PFL_5799	19	44	4	24	42	34
metG_locusTag_PFL_4844	34	26	19	9	64	43
metH_locusTag_PFL_3662	335	280	110	92	269	90
metI1_locusTag_PFL_0240	7	0	7	25	8	19
metI2_locusTag_PFL_0072	67	17	10	4	33	13
metK_locusTag_PFL_5788	20	20	5	0	21	19
metN1_locusTag_PFL_0241	12	0	4	0	7	22
metN2_locusTag_PFL_0073	101	112	36	59	103	33
metQ1_locusTag_PFL_0242	0	15	8	4	3	14
metQ2_locusTag_PFL_0071	97	116	38	25	105	26
metR_locusTag_PFL_4890	51	61	18	31	99	81
metW_locusTag_PFL_5843	1	12	15	14	3	9
metX_locusTag_PFL_5842	35	30	24	3	21	38
metZ_locusTag_PFL_2078	13	10	0	0	4	4
mexE_locusTag_PFL_3240	26	18	4	8	1	18
mexF_locusTag_PFL_3241	109	62	47	39	96	145
mexT_locusTag_PFL_3233	40	2	10	10	66	37
mfd_locusTag_PFL_1954	497	713	213	183	463	155
mgsA_locusTag_PFL_4624	0	25	0	0	11	46
mgtA_1_locusTag_PFL_3349	27	63	28	7	36	35
mgtA_2_locusTag_PFL_4078	80	125	26	49	107	17
mgtE_locusTag_PFL_4499	104	128	23	44	112	56
miaA_locusTag_PFL_0565	50	12	35	10	28	59
miaB_locusTag_PFL_5432	46	47	8	10	56	51
miaE_locusTag_PFL_2636	22	46	3	12	37	39
minC_locusTag_PFL_4379	117	71	29	44	170	290
minD_locusTag_PFL_4380	9	24	6	0	18	0
minE_locusTag_PFL_4381	0	6	0	0	0	0
mltB_locusTag_PFL_5450	122	47	13	39	72	64
mltF_locusTag_PFL_1075	219	168	61	128	264	97
mmsA_1_locusTag_PFL_0734	57	40	4	6	127	58
mmsA_2_locusTag_PFL_0747	40	28	5	18	20	2
mmsB_locusTag_PFL_0748	5	15	3	0	24	17
mnmC_locusTag_PFL_4332	15	31	15	0	27	22
mntA_locusTag_PFL_6178	5	0	0	2	11	4
mntB_locusTag_PFL_6179	54	14	20	0	19	14
mntC_locusTag_PFL_6180	8	1	5	14	26	19
mntH_locusTag_PFL_2262	19	14	5	13	7	39
moaA_1_locusTag_PFL_1805	6	3	0	0	16	0
moaA_2_locusTag_PFL_3729	33	75	33	44	46	0
moaB_1_locusTag_PFL_3721	208	216	100	86	122	38
moaB_2_locusTag_PFL_4222	74	92	14	63	36	9
moaC_1_locusTag_PFL_1038	0	0	0	0	0	0
moaC_2_locusTag_PFL_3727	20	44	8	6	5	8
moaD_locusTag_PFL_1039	1	0	0	0	0	0
moaD_locusTag_PFL_3726	0	0	0	1	1	0
moaE_1_locusTag_PFL_1040	0	0	0	0	0	0
moaE_2_locusTag_PFL_3725	14	14	6	0	8	0
mobA_locusTag_PFL_3722	30	20	9	0	32	1
modA_locusTag_PFL_3412	39	46	15	8	18	36
modB_locusTag_PFL_3413	27	12	4	4	0	0
modC_locusTag_PFL_3414	38	10	0	19	18	4
moeA_1_locusTag_PFL_3720	380	266	82	98	250	35
moeA_2_locusTag_PFL_4221	197	136	35	35	107	91
morA_locusTag_PFL_5345	116	111	18	41	113	87
motA_locusTag_PFL_0555	20	10	6	13	19	11
motB_locusTag_PFL_0556	18	17	7	0	25	0
mpl_locusTag_PFL_5467	221	185	118	108	215	42
mqo_1_locusTag_PFL_2427	12	36	24	6	80	15
mqo_2_locusTag_PFL_5134	25	28	4	14	19	8
mqsR_locusTag_PFL_1053	5	48	8	26	4	36
mraW_locusTag_PFL_5069	831	677	373	232	685	402
mraY_locusTag_PFL_5064	342	185	146	102	164	84
mraZ_locusTag_PFL_5070	632	254	205	253	767	570
mrcA_locusTag_PFL_0444	396	433	111	110	245	125
mrcB_locusTag_PFL_5258	174	224	21	46	185	85
mrdA_1_locusTag_PFL_4140	202	157	53	80	235	85
mrdA_2_locusTag_PFL_5452	20	101	1	26	53	77
mrdB_locusTag_PFL_5451	52	38	12	31	43	47
mreB_locusTag_PFL_0896	4	16	10	10	47	11
mreC_locusTag_PFL_0897	1	2	0	0	6	2
mreD_locusTag_PFL_0898	0	0	0	0	3	2
msbA_locusTag_PFL_0527	86	96	3	35	32	20
mscL_locusTag_PFL_5359	2	6	0	0	8	4
mscS_locusTag_PFL_4774	209	248	157	72	238	71
msrA_1_locusTag_PFL_2555	3	0	0	1	0	0
msrA_2_locusTag_PFL_0506	244	357	192	184	280	91
msrB_locusTag_PFL_4246	525	344	73	54	244	91
msuC_locusTag_PFL_4157	14	9	0	7	12	6
msuD_locusTag_PFL_4156	11	11	6	0	19	0
msuE_locusTag_PFL_4155	8	8	0	0	12	4
mtgA_locusTag_PFL_5853	16	1	0	3	14	3
mtlD_locusTag_PFL_3074	35	33	12	0	15	18
mtlE_locusTag_PFL_3070	3	36	23	22	45	19
mtlF_locusTag_PFL_3071	12	16	3	0	36	22
mtlG_locusTag_PFL_3072	25	20	4	11	15	0
mtlK_locusTag_PFL_3073	14	35	5	0	9	5
mtlR_locusTag_PFL_3254	24	21	9	12	16	22
mtlY_locusTag_PFL_3075	54	38	0	11	23	16
mtlZ_locusTag_PFL_3076	209	68	12	56	43	18
mtnA_locusTag_PFL_4315	194	84	35	24	58	50
mucA_locusTag_PFL_1449	10	0	1	0	1	0
mucB_locusTag_PFL_1450	36	33	18	5	18	7
mucD_locusTag_PFL_1451	7	0	6	0	0	2
murA_locusTag_PFL_0927	5	12	8	2	33	19
murB_locusTag_PFL_1782	6	3	3	0	11	8
murC_locusTag_PFL_5060	250	327	156	186	276	127
murD_locusTag_PFL_5063	407	281	138	134	300	82
murF_locusTag_PFL_5065	211	278	106	74	251	76
murG_locusTag_PFL_5061	130	160	76	83	206	38
murI_locusTag_PFL_5156	15	14	18	0	16	0
mutL_locusTag_PFL_0564	0	12	4	0	30	10
mutM_locusTag_PFL_5870	79	43	20	29	39	2
mutS_locusTag_PFL_1209	225	183	132	46	172	72
mutY_locusTag_PFL_0358	133	85	37	67	59	8
mvaT_locusTag_PFL_4787	7	27	0	0	2	0
mvaV_locusTag_PFL_3391	23	9	0	0	10	3
mviN_locusTag_PFL_5323	112	95	68	44	177	110
nadA_locusTag_PFL_4646	237	284	93	77	269	115
nadB_locusTag_PFL_1447	554	649	219	288	844	306
nadC_locusTag_PFL_0851	117	114	49	32	120	43
nadD_locusTag_PFL_5455	102	143	44	47	61	32
nadE_1_locusTag_PFL_2468	15	0	0	0	3	8
nadE_2_locusTag_PFL_0593	105	60	74	8	171	6
nagA_locusTag_PFL_1081	0	5	0	0	8	0
nagE_locusTag_PFL_1078	7	0	0	1	8	0
nagF_locusTag_PFL_1079	2	19	0	1	6	0
nagZ_locusTag_PFL_1951	0	14	7	0	5	0
ndh_locusTag_PFL_5296	70	55	61	39	34	33
ndk_locusTag_PFL_4958	423	711	282	233	549	136
ndpA_1_locusTag_PFL_1060	320	346	133	135	409	126
ndpA_2_locusTag_PFL_4665	27	37	0	32	12	18
ndvB_locusTag_PFL_4065	213	284	98	78	198	251
nemA_locusTag_PFL_2806	12	17	6	9	39	33
nhaA_locusTag_PFL_1286	132	124	9	68	135	29
nhaB_locusTag_PFL_3141	50	28	19	17	52	25
nhaP_locusTag_PFL_5795	47	112	1	5	89	54
nhaR_locusTag_PFL_3998	31	14	1	20	6	20
nifA	0	0	0	0	56864	19484
nifB	606	468	99	32	5360	2271
nifD	6535	1184	336	3272	7136	2695
nifE	4431	1437	181	6101	2165	980
nifF	437	765	142	88	0	5795
nifH	15357	4328	1289	5110	3074	4066
nifJ	3951	1460	257	153	52325	14145
nifK	1871	694	127	1640	5055	5361
nifL	0	0	0	0	2893	18131
nifM	5982	7338	1931	5224	4150	1206
nifN	1245	696	104	744	1416	625
nifQ	545	685	66	41	3714	283
nifS	1550	3224	683	488	3139	3335
nifT	0	0	0	0	116	15
nifU	1969	2839	816	163	5640	1584
nifV	759	875	476	1553	7932	1195
nifW	40	158	142	239	246	44
nifX	0	0	0	0	241	162
nifY	570	308	28	1152	1116	1527
nifZ	500	1290	234	318	3474	552
nirK_locusTag_PFL_5501	3090	3085	902	1291	3357	1884
nlpD_locusTag_PFL_1206	29	21	14	11	35	45
np20_locusTag_PFL_0078	23	33	38	2	62	12
nrdR_locusTag_PFL_5523	51	78	15	12	74	19
nspC_locusTag_PFL_3538	18	43	0	13	15	16
ntaA_locusTag_PFL_0256	0	2	6	0	13	10
nth_locusTag_PFL_4850	23	6	0	1	43	7
nudC_locusTag_PFL_3266	242	92	66	54	98	47
nudE_locusTag_PFL_0297	0	1	8	0	1	0
nudF_locusTag_PFL_0541	0	0	0	0	0	7
nudK_locusTag_PFL_3331	25	13	14	12	0	0
nuoA_locusTag_PFL_6284	57	22	16	20	52	39
nuoB_locusTag_PFL_3898	2	14	0	0	0	0
nuoD_locusTag_PFL_3899	154	64	43	10	144	59
nuoE_locusTag_PFL_3900	0	12	0	0	0	0
nuoF_locusTag_PFL_3901	14	14	6	0	34	33
nuoG_locusTag_PFL_3902	171	99	50	54	95	57
nuoH_locusTag_PFL_3903	11	27	0	16	24	8
nuoI_locusTag_PFL_3904	17	10	7	8	0	6
nuoJ_locusTag_PFL_3905	10	0	0	5	3	15
nuoK_locusTag_PFL_3906	3	12	0	0	0	0
nuoL_locusTag_PFL_3907	31	50	15	8	18	21
nuoM_locusTag_PFL_3908	49	14	9	5	0	27
nuoN_locusTag_PFL_3909	24	5	9	6	54	31
nusA_locusTag_PFL_0843	64	43	22	30	128	96
nusB_locusTag_PFL_5518	163	143	72	38	167	54
nusG_locusTag_PFL_5594	1004	592	138	269	575	147
oadA_locusTag_PFL_6157	243	105	98	26	302	106
ofaA_locusTag_PFL_2145	9	28	5	0	20	9
ofaB_locusTag_PFL_2146	69	113	12	3	40	15
ofaC_locusTag_PFL_2147	66	56	29	17	76	23
ogt_locusTag_PFL_5108	129	95	52	27	0	13
ohrR_locusTag_PFL_4262	0	0	3	14	22	0
ohr_locusTag_PFL_4263	11	0	2	1	8	6
omlA_locusTag_PFL_0823	1223	752	382	393	873	341
ompR_locusTag_PFL_0276	16	17	12	0	15	16
oprB2_locusTag_PFL_4915	47	54	36	2	56	1
oprB_locusTag_PFL_4613	231	472	132	313	290	95
oprC_locusTag_PFL_0648	26	24	0	7	28	42
oprD_locusTag_PFL_4773	140	85	69	117	176	72
oprE_locusTag_PFL_5940	1482	1437	546	600	1217	174
oprF_locusTag_PFL_1876	52	23	6	22	44	26
oprG_locusTag_PFL_5532	17	3	0	0	0	9
oprH_locusTag_PFL_4471	106	68	56	33	134	70
oprN_locusTag_PFL_3242	9	45	8	0	13	14
oprO_locusTag_PFL_1535	40	52	13	2	26	28
oprQ_locusTag_PFL_0313	6	9	11	0	40	4
opuCA_locusTag_PFL_0868	26	44	23	14	36	62
opuCB2_locusTag_PFL_0871	109	136	5	26	113	125
opuCB_locusTag_PFL_0869	6	3	3	0	6	0
opuCC_locusTag_PFL_0870	6	0	0	7	29	1
orn_locusTag_PFL_0558	28	11	0	4	13	3
osmC_locusTag_PFL_0043	7	19	0	5	31	15
oxyR_locusTag_PFL_6070	12	30	9	8	61	5
paaB_locusTag_PFL_3130	23	10	4	8	54	8
paaD_locusTag_PFL_3131	18	6	0	0	26	38
paaF_locusTag_PFL_3132	27	23	4	1	6	4
paaG_locusTag_PFL_3133	13	10	3	0	28	3
paaH_locusTag_PFL_3134	14	0	0	0	0	0
paaI_locusTag_PFL_3135	5	0	6	14	20	2
paaJ_locusTag_PFL_3136	1	0	2	6	0	0
paaK_locusTag_PFL_3137	33	14	14	16	22	13
paaL_locusTag_PFL_3139	12	5	6	21	26	10
paaN_locusTag_PFL_3140	30	8	3	23	40	10
paaW_locusTag_PFL_3138	6	0	1	0	8	4
paaX_locusTag_PFL_3128	40	98	33	14	61	11
paaY_locusTag_PFL_3129	42	16	13	18	37	33
pabB_locusTag_PFL_1856	47	49	25	26	28	26
pabC_locusTag_PFL_1799	24	11	21	7	36	7
pal_locusTag_PFL_4757	538	511	125	134	543	108
panB_1_locusTag_PFL_5227	6	7	0	0	18	5
panB_2_locusTag_PFL_5277	19	15	0	0	8	3
panC_locusTag_PFL_5278	42	39	16	27	53	15
panE_1_locusTag_PFL_3476	0	4	0	12	0	2
panE_2_locusTag_PFL_4271	81	124	19	82	108	83
panE_3_locusTag_PFL_4776	68	59	14	17	32	12
pap_locusTag_PFL_4331	354	235	77	129	260	101
parA_locusTag_PFL_6224	103	106	40	31	157	62
parB_locusTag_PFL_6223	169	114	70	20	151	33
parC_locusTag_PFL_0548	44	40	7	34	16	18
parE_locusTag_PFL_0545	8	6	7	0	12	4
pasA_locusTag_PFL_1943	0	9	3	0	9	0
pbpG_locusTag_PFL_3993	44	34	23	14	27	3
pcaB_locusTag_PFL_1323	3	11	0	0	27	9
pcaC_locusTag_PFL_1325	8	9	12	0	0	10
pcaD_locusTag_PFL_1324	6	9	14	0	14	0
pcaF_locusTag_PFL_1319	5	6	8	0	0	0
pcaG_1_locusTag_PFL_1321	2	6	0	0	0	0
pcaG_2_locusTag_PFL_5395	9	5	4	0	0	4
pcaH_1_locusTag_PFL_1320	17	3	1	3	7	4
pcaH_2_locusTag_PFL_5396	4	0	0	0	16	0
pcaK_locusTag_PFL_1316	2	11	14	0	20	8
pcaQ_locusTag_PFL_5397	85	57	41	44	190	84
pcaR_locusTag_PFL_1315	53	18	5	9	32	31
pcd_locusTag_PFL_0596	17	26	0	0	8	7
pchA_locusTag_PFL_3488	16	0	4	0	0	5
pchB_locusTag_PFL_3489	0	0	0	0	0	0
pchC_locusTag_PFL_3490	0	6	0	0	0	0
pchD_locusTag_PFL_3496	10	4	0	0	3	16
pchE_locusTag_PFL_3493	18	28	11	12	16	18
pchF_locusTag_PFL_3492	39	13	14	7	37	3
pchH_locusTag_PFL_3495	3	1	0	0	0	0
pchI_locusTag_PFL_3494	2	21	0	7	28	0
pchK_locusTag_PFL_3491	0	9	0	0	0	0
pchP_locusTag_PFL_5881	33	49	21	4	60	6
pchR_locusTag_PFL_3497	41	19	11	18	10	1
pckA_locusTag_PFL_0284	24	16	7	2	30	28
pcm_locusTag_PFL_1205	15	7	8	7	7	7
pcnB_locusTag_PFL_5275	66	33	9	28	53	15
pcpS_locusTag_PFL_4473	10	9	0	0	4	4
pcs_locusTag_PFL_4055	105	21	6	22	19	21
pctA_1_locusTag_PFL_4784	71	60	23	18	70	36
pctA_2_locusTag_PFL_0128	55	51	35	15	62	21
pctC_locusTag_PFL_0395	47	12	19	11	72	49
pdhR_locusTag_PFL_0818	10	13	0	0	23	10
pdxA_locusTag_PFL_5648	91	52	19	31	100	47
pdxB_locusTag_PFL_1933	68	134	31	33	50	17
pdxH_locusTag_PFL_1283	289	402	165	121	362	288
pdxJ_locusTag_PFL_1074	24	21	23	0	3	9
peaA_locusTag_PFL_4120	90	83	51	39	44	0
peaB_locusTag_PFL_4119	57	28	31	16	22	14
peaC_locusTag_PFL_4118	6	1	0	0	4	3
peaD_locusTag_PFL_4117	0	27	11	8	32	9
peaE_locusTag_PFL_4130	18	17	0	22	12	19
peaF_locusTag_PFL_4132	3	17	12	0	0	27
peaH_locusTag_PFL_4134	20	44	30	16	39	16
peaR_locusTag_PFL_4135	381	310	93	82	278	71
pedA_locusTag_PFL_2208	0	13	10	0	2	5
pedB_locusTag_PFL_2207	1	0	0	0	4	0
pedC_locusTag_PFL_2206	0	0	0	0	0	0
pedD_locusTag_PFL_2215	0	0	3	3	0	0
pedE_locusTag_PFL_2216	3	10	8	6	12	0
pedF_locusTag_PFL_2217	0	0	0	0	0	0
pedG_locusTag_PFL_2218	9	0	0	0	0	0
pedH_locusTag_PFL_2221	0	0	5	0	6	10
pedI_locusTag_PFL_2222	47	7	3	8	51	12
pedR1_locusTag_PFL_2204	182	185	74	122	138	41
pedR2_locusTag_PFL_2212	2	6	0	0	0	0
pedS1_locusTag_PFL_2203	60	79	34	7	32	71
pedS2_locusTag_PFL_2211	0	22	1	0	6	0
pelA_locusTag_PFL_2972	106	69	17	35	138	70
pelB_locusTag_PFL_2973	18	29	24	5	9	1
pelC_locusTag_PFL_2974	0	0	0	0	0	10
pelD_locusTag_PFL_2975	7	0	7	11	16	6
pelE_locusTag_PFL_2976	0	4	0	0	0	0
pelF_locusTag_PFL_2977	42	27	7	0	23	0
pelG_locusTag_PFL_2978	150	105	21	20	83	26
pepA_locusTag_PFL_1066	578	595	285	125	469	111
pepN_locusTag_PFL_3281	86	165	164	74	86	38
pepP_locusTag_PFL_5968	1093	1011	192	287	781	386
pepQ_locusTag_PFL_5299	112	56	10	47	59	36
petA_locusTag_PFL_5080	1388	1267	397	304	1382	538
petB_locusTag_PFL_5079	1965	1365	471	551	1414	515
pfeA_locusTag_PFL_2663	0	0	0	0	3	4
pfeR_locusTag_PFL_2665	16	12	0	0	30	1
pfeS_locusTag_PFL_2664	6	11	0	8	0	14
pfiT_atuR_locusTag_PFL_4193	30	80	14	22	27	64
pgaA_locusTag_PFL_0161	47	7	0	3	7	24
pgaB_locusTag_PFL_0162	36	6	5	6	43	40
pgaC_locusTag_PFL_0163	0	5	4	9	21	15
pgaD_locusTag_PFL_0164	38	3	11	7	16	4
pgi_locusTag_PFL_5280	106	39	11	39	58	6
pgk_locusTag_PFL_5784	71	95	22	23	48	21
pgl_locusTag_PFL_4609	1149	1333	431	407	998	276
pgm_locusTag_PFL_3231	355	372	109	106	210	111
pgpA_locusTag_PFL_5516	217	151	93	44	87	66
pgsA_locusTag_PFL_3561	297	236	26	59	252	39
phaAB_locusTag_PFL_2611	249	217	157	92	204	94
phaA_locusTag_PFL_0434	590	773	263	252	458	233
phaC_locusTag_PFL_0432	321	420	294	128	215	42
phaC_locusTag_PFL_2610	3	17	4	5	5	0
phaD_locusTag_PFL_0431	38	66	44	73	46	8
phaD_locusTag_PFL_2609	65	43	33	33	53	22
phaE_locusTag_PFL_2608	3	9	3	0	0	4
phaF_locusTag_PFL_0430	1	2	0	0	7	0
phaF_locusTag_PFL_2607	7	1	0	0	0	0
phaG_locusTag_PFL_1429	359	374	1933	197	357	22
phaG_locusTag_PFL_2606	0	40	19	37	4	0
phaI_locusTag_PFL_0429	18	0	2	0	21	19
phaZ_locusTag_PFL_0433	97	117	62	62	105	77
pheA_locusTag_PFL_4312	158	112	45	35	116	24
pheC_locusTag_PFL_1493	97	41	1	8	38	0
pheS_locusTag_PFL_2115	0	11	3	2	12	7
pheT_locusTag_PFL_2116	34	64	3	56	133	52
phhA_locusTag_PFL_1611	131	102	40	64	93	25
phhB_locusTag_PFL_1610	55	43	50	41	69	41
phhR_locusTag_PFL_1612	29	16	17	6	28	11
phlA_locusTag_PFL_5954	45	41	10	0	56	14
phlB_locusTag_PFL_5956	7	17	0	0	33	0
phlC_locusTag_PFL_5955	33	16	5	3	3	4
phlD_locusTag_PFL_5957	102	86	17	25	84	32
phlE_locusTag_PFL_5958	37	56	29	0	23	7
phlF_locusTag_PFL_5953	4	9	17	2	63	61
phlG_locusTag_PFL_5952	45	53	0	16	29	23
phlH_locusTag_PFL_5951	148	225	88	105	235	56
phnA_locusTag_PFL_5331	44	24	9	28	43	23
phnW_locusTag_PFL_3965	26	19	11	4	4	4
phnX_locusTag_PFL_3966	12	24	17	2	4	9
phoB_locusTag_PFL_6108	7	4	1	0	1	4
phoP_locusTag_PFL_4470	347	258	198	76	227	159
phoQ_locusTag_PFL_4469	259	221	115	29	160	105
phoR_locusTag_PFL_6109	61	37	28	14	19	23
phoU_locusTag_PFL_6115	121	99	53	17	62	39
phrB_locusTag_PFL_5147	10	21	10	0	13	0
phrS_locusTag_PFL_6286	11	3	0	0	6	0
phuR_locusTag_PFL_4627	172	98	92	65	183	135
phuT_locusTag_PFL_5266	95	100	10	22	83	20
phuU_locusTag_PFL_5265	40	35	12	13	24	5
phuV_locusTag_PFL_5264	19	5	0	0	44	6
phuW_locusTag_PFL_5263	54	50	61	17	67	16
pilA_locusTag_PFL_5287	34	36	5	1	17	18
pilC_locusTag_PFL_5288	163	134	34	31	69	55
pilD_locusTag_PFL_5289	528	397	93	185	383	80
pilF_locusTag_PFL_4956	51	44	8	9	26	8
pilG_locusTag_PFL_5827	407	277	86	77	333	164
pilH_locusTag_PFL_5826	150	136	42	71	151	30
pilI_locusTag_PFL_5825	77	29	17	9	12	6
pilJ_locusTag_PFL_5824	132	69	40	20	55	34
pilL_locusTag_PFL_4675	83	19	11	24	40	41
pilM_locusTag_PFL_0445	5	1	0	0	1	1
pilN_locusTag_PFL_0446	8	0	0	10	0	0
pilN_locusTag_PFL_4676	97	111	15	55	133	84
pilO_1_locusTag_PFL_4677	23	65	10	0	47	24
pilO_2_locusTag_PFL_0447	2	6	0	1	10	0
pilP_1_locusTag_PFL_0448	0	7	0	0	0	0
pilP_2_locusTag_PFL_6257	4	0	0	0	7	10
pilQ_locusTag_PFL_0449	64	50	15	48	126	56
pilQ_locusTag_PFL_4678	35	81	16	19	108	44
pilR_locusTag_PFL_5309	30	39	23	32	11	23
pilS_locusTag_PFL_4680	12	14	0	0	19	9
pilT_locusTag_PFL_5837	173	75	13	7	83	27
pilV_locusTag_PFL_4682	53	55	16	67	76	31
pilV_locusTag_PFL_5315	15	9	0	0	3	3
pip_locusTag_PFL_0411	11	19	0	0	0	26
pip_locusTag_PFL_5297	74	65	45	36	3	14
pitA_1_locusTag_PFL_1313	340	324	74	152	334	122
pitA_2_locusTag_PFL_4546	12	3	14	1	19	20
plsB_locusTag_PFL_1161	103	108	63	34	113	34
plsX_locusTag_PFL_1794	39	39	0	0	48	11
plsY_locusTag_PFL_5659	127	42	23	22	31	4
pltA_locusTag_PFL_2787	114	44	13	55	68	42
pltB_locusTag_PFL_2788	27	55	24	22	13	11
pltC_locusTag_PFL_2789	27	45	0	29	44	7
pltD_locusTag_PFL_2790	4	9	6	12	36	12
pltE_locusTag_PFL_2791	0	7	0	0	3	0
pltF_locusTag_PFL_2792	2	10	4	13	1	7
pltG_locusTag_PFL_2793	36	7	0	0	27	2
pltI_locusTag_PFL_2795	3	4	1	0	5	0
pltJ_locusTag_PFL_2796	23	35	9	17	23	0
pltK_locusTag_PFL_2797	6	19	0	4	20	6
pltL_locusTag_PFL_2786	0	0	0	0	0	3
pltM_locusTag_PFL_2784	96	68	25	20	78	32
pltN_locusTag_PFL_2798	8	29	6	3	37	5
pltO_locusTag_PFL_2799	24	18	7	37	12	21
pltP_locusTag_PFL_2800	96	113	9	13	90	40
pltR_locusTag_PFL_2785	158	252	45	183	169	54
pltZ_locusTag_PFL_2794	154	81	58	41	407	140
pmbA_locusTag_PFL_0905	18	11	0	20	14	10
pmpM_locusTag_PFL_1932	42	99	25	39	56	69
pncB_1_locusTag_PFL_2467	1	0	0	0	17	0
pncB_2_locusTag_PFL_0594	32	38	7	0	65	0
pnp_locusTag_PFL_0848	167	173	133	77	292	37
pntAA_locusTag_PFL_0115	89	195	68	51	102	71
pntAB_locusTag_PFL_0114	14	5	3	0	5	6
pntB_locusTag_PFL_0113	51	48	19	6	51	23
pnuC_locusTag_PFL_3116	1	7	4	11	0	3
pobA_locusTag_PFL_5170	24	20	0	6	34	8
pobR_locusTag_PFL_5171	27	5	0	0	33	5
polA_locusTag_PFL_0082	40	63	31	19	71	39
polB_locusTag_PFL_2480	85	72	40	7	11	0
potF1_locusTag_PFL_5926	697	533	424	209	930	163
potF2_locusTag_PFL_5925	116	113	109	50	178	38
potF3_locusTag_PFL_2336	0	0	4	0	25	27
potF_locusTag_PFL_6146	2	10	16	14	44	38
potG2_locusTag_PFL_2339	6	0	5	0	18	8
potG_locusTag_PFL_5924	170	103	62	5	75	34
potH2_locusTag_PFL_2338	10	18	7	8	21	0
potH_locusTag_PFL_5923	36	66	34	9	10	27
potI2_locusTag_PFL_2337	29	15	2	0	37	0
potI_locusTag_PFL_5922	61	48	70	47	45	8
poxB_locusTag_PFL_3603	132	33	16	17	80	65
ppa_locusTag_PFL_5478	60	37	8	12	1	24
ppc_locusTag_PFL_1147	40	24	29	3	16	16
ppiA_locusTag_PFL_1542	92	86	24	32	22	11
ppiB_locusTag_PFL_3914	2	0	0	1	1	0
ppiC_1_locusTag_PFL_3569	25	16	3	2	5	0
ppiC_2_locusTag_PFL_3579	8	3	4	0	24	0
ppk2_locusTag_PFL_4986	0	1	0	0	6	0
ppkA_locusTag_PFL_6078	41	17	15	19	19	19
ppk_locusTag_PFL_5984	530	452	268	181	535	148
pppA_locusTag_PFL_6079	1	0	7	0	0	0
ppsA_locusTag_PFL_1869	24	37	10	13	20	21
ppx_locusTag_PFL_5983	40	36	9	5	31	13
ppyR_locusTag_PFL_3310	4	3	3	0	4	14
pqqA_1_locusTag_PFL_5673	0	0	0	0	0	0
pqqA_2_locusTag_PFL_2223	0	7	0	0	6	0
pqqB_1_locusTag_PFL_2224	8	4	4	4	15	23
pqqB_2_locusTag_PFL_5674	40	79	0	47	3	45
pqqC_locusTag_PFL_5675	74	80	0	14	35	32
pqqD_locusTag_PFL_5676	0	0	0	0	0	4
pqqE_locusTag_PFL_5677	39	22	24	11	47	31
pqqF_locusTag_PFL_5672	181	139	17	72	91	63
pqqH_locusTag_PFL_5683	55	53	17	34	58	29
pqqI_locusTag_PFL_5681	133	138	44	77	45	28
pqqM_locusTag_PFL_5678	93	178	28	52	86	60
praA_locusTag_PFL_2936	18	14	5	0	21	27
praB_locusTag_PFL_2937	89	51	17	47	63	71
prbA_locusTag_PFL_5627	55	39	0	9	236	102
prbB_locusTag_PFL_5626	14	26	10	2	26	23
prbC_locusTag_PFL_5625	16	4	0	6	25	27
prbD_locusTag_PFL_5624	28	11	7	15	42	26
prc_locusTag_PFL_4394	84	79	10	19	115	43
prfA_locusTag_PFL_5159	114	125	50	5	51	4
prfB_locusTag_PFL_1137	32	0	0	16	27	5
prfC_locusTag_PFL_0872	30	26	0	0	45	35
prfH_locusTag_PFL_2086	61	88	11	7	7	11
priA_locusTag_PFL_0440	93	77	31	29	84	29
prlC_locusTag_PFL_0050	78	49	34	3	25	34
prmA_locusTag_PFL_0670	49	50	5	20	58	4
prmB_locusTag_PFL_4351	93	200	79	50	63	53
prmC_locusTag_PFL_5158	15	35	22	9	13	17
prnA_locusTag_PFL_3604	81	62	50	39	93	37
prnB_locusTag_PFL_3605	21	51	8	27	35	0
